id,user_id,sequence_number,session_id,created_at,ip_address,city,state,postal_code,browser,traffic_source,uri,event_type
1374701,,3,ebd9e654-e2ef-4b63-a5a3-fbaeff19ba8c,2020-04-20 01:47:00.000000 UTC,66.102.116.56,São Paulo,São Paulo,02220-000,Safari,Email,/cancel,cancel
1456853,,3,d253b34f-a9e7-48ff-986a-d8cada5e1c20,2024-08-19 19:00:00.000000 UTC,217.254.220.236,São Paulo,São Paulo,02220-000,Firefox,Email,/cancel,cancel
1824170,,3,af0738cc-59b8-4cb9-8e55-c0cb7b20a7bd,2021-04-21 05:27:00.000000 UTC,75.83.133.64,São Paulo,São Paulo,02675-031,Safari,Email,/cancel,cancel
1316150,,3,fb64229c-71d7-4171-a270-76b5d49ca977,2023-06-17 01:59:00.000000 UTC,140.195.70.136,São Paulo,São Paulo,02675-031,Chrome,Adwords,/cancel,cancel
1874809,,3,6ef7d8c6-c30b-438a-acda-6ba27cf324bf,2025-03-02 07:57:00.000000 UTC,23.1.144.224,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
1767022,,3,f66f3e4c-f995-48ec-89a2-f0ee5b41224e,2023-01-14 10:53:00.000000 UTC,157.230.77.26,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
2085893,,3,13547d0d-ca49-4103-bb50-b822358e3954,2023-09-15 07:27:00.000000 UTC,131.126.210.159,São Paulo,São Paulo,02675-031,Safari,Email,/cancel,cancel
2196003,,3,46dab2e9-505e-40f8-ab5b-fcb704ca5e44,2023-06-15 16:01:00.000000 UTC,15.75.167.116,São Paulo,São Paulo,02675-031,Chrome,Facebook,/cancel,cancel
1989280,,3,e9aa0bf4-aabe-45b7-a687-edf21a831c95,2020-11-27 09:04:00.000000 UTC,96.26.126.24,São Paulo,São Paulo,02675-031,Safari,Organic,/cancel,cancel
2173546,,3,7d085c04-dd45-4fa4-b5ae-04d65a794bcc,2023-06-03 17:24:00.000000 UTC,53.128.162.189,São Paulo,São Paulo,02675-031,Chrome,Adwords,/cancel,cancel
2234253,,3,6b08e478-9dba-484c-a1ca-cff1cc9e9415,2024-09-04 06:16:00.000000 UTC,129.173.165.56,São Paulo,São Paulo,02675-031,IE,Email,/cancel,cancel
1482373,,3,12209f2a-0dae-4386-aebf-df39648abe7c,2019-04-30 14:23:00.000000 UTC,114.77.17.189,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
2041743,,3,0cd474e4-13bd-4d44-9bf5-aef97bf77aec,2019-10-10 19:07:00.000000 UTC,115.128.164.153,São Paulo,São Paulo,02675-031,Chrome,Adwords,/cancel,cancel
1669315,,3,39023b42-2af6-455c-8ee1-cdd0e1e91cbb,2021-06-29 19:36:00.000000 UTC,26.206.255.205,São Paulo,São Paulo,02675-031,IE,Adwords,/cancel,cancel
2414331,,3,4d392b05-b099-49a7-9fd4-67f3fca684ce,2025-03-03 02:25:00.000000 UTC,110.5.203.156,São Paulo,São Paulo,02675-031,Chrome,Facebook,/cancel,cancel
1719490,,3,6216eb37-88e4-475b-b8fc-f5b966bfdc57,2019-07-23 02:02:00.000000 UTC,212.43.238.149,São Paulo,São Paulo,02675-031,Other,Adwords,/cancel,cancel
1495781,,3,91dbf0dc-6a7c-4a3f-b97d-55d5ccd78e41,2023-02-14 10:17:00.000000 UTC,131.223.159.167,São Paulo,São Paulo,02675-031,Safari,Email,/cancel,cancel
2017164,,3,b018bf41-9776-4b18-b1da-7c5caec5e692,2020-08-20 19:25:00.000000 UTC,192.227.29.131,São Paulo,São Paulo,02675-031,Safari,Organic,/cancel,cancel
2395634,,3,2e601979-d16b-4c17-95df-9193bc95123c,2021-12-22 04:48:00.000000 UTC,205.137.110.69,São Paulo,São Paulo,02675-031,Safari,YouTube,/cancel,cancel
1313278,,3,338fff83-2f21-4ef2-a6dc-27444299fd5e,2022-03-10 00:58:00.000000 UTC,126.208.246.184,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
2247298,,3,84257c92-cc28-4d55-b3b1-320c78162a56,2025-04-29 07:44:00.000000 UTC,66.120.138.25,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
1306335,,3,f1f78069-6515-4679-8a45-e489982d5567,2020-08-18 19:19:00.000000 UTC,39.179.228.114,São Paulo,São Paulo,02675-031,Safari,Facebook,/cancel,cancel
1335496,,3,037a46d5-7c32-4af4-8093-939d0ba5fbf1,2019-08-22 02:30:00.000000 UTC,160.206.101.210,São Paulo,São Paulo,02675-031,Chrome,Adwords,/cancel,cancel
2371589,,3,34ddf732-6066-4f5f-b82b-9d3f35a834f6,2019-03-24 10:03:00.000000 UTC,138.114.113.66,São Paulo,São Paulo,02675-031,Other,Adwords,/cancel,cancel
1953757,,3,7df53248-c410-46bb-b6f0-0b03158371d8,2019-10-15 11:41:00.000000 UTC,144.244.0.72,São Paulo,São Paulo,02675-031,Chrome,Adwords,/cancel,cancel
1544984,,3,2f68729b-acf0-4f50-b521-c09026c67380,2021-02-20 04:37:00.000000 UTC,193.104.106.89,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
1863254,,3,7003b1db-a84f-4d4b-a569-1489aa0cf07f,2025-05-31 04:22:00.000000 UTC,89.79.163.40,São Paulo,São Paulo,02675-031,Chrome,Adwords,/cancel,cancel
2171940,,3,3155be17-7c88-4ea3-9bc6-a1d13dca471f,2020-12-28 09:57:00.000000 UTC,192.244.253.133,São Paulo,São Paulo,02675-031,Firefox,Organic,/cancel,cancel
1581100,,3,083a083d-8a91-4a35-b492-81184444b16b,2022-06-27 05:07:00.000000 UTC,34.137.111.114,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
1428853,,3,ded1c879-b24d-4848-a2ad-720bc996199d,2023-08-29 09:43:00.000000 UTC,182.236.59.72,São Paulo,São Paulo,02675-031,Firefox,Facebook,/cancel,cancel
1418723,,3,75719582-064c-4371-aa1b-781d60694d7c,2025-04-08 06:22:00.000000 UTC,3.200.251.20,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
1800944,,3,f5761ec9-7145-4290-bd59-c6c0af880e3c,2021-08-12 15:26:00.000000 UTC,54.174.187.223,São Paulo,São Paulo,02675-031,IE,Adwords,/cancel,cancel
1893381,,3,57b2847f-7935-4c44-bf9b-f9dc197fa2fa,2023-09-11 09:16:00.000000 UTC,49.63.235.240,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
1913584,,3,9e01441f-a76d-479d-bcd4-4c0e9737c722,2022-09-15 02:09:00.000000 UTC,68.187.223.214,São Paulo,São Paulo,02675-031,Firefox,Adwords,/cancel,cancel
2332589,,3,fe0e1157-0bec-4d16-96d0-d938736c099d,2021-02-16 13:56:00.000000 UTC,29.253.47.0,São Paulo,São Paulo,02675-031,IE,Email,/cancel,cancel
1617379,,3,941e39a3-8854-495f-903f-ca4415ba0d54,2022-09-28 06:49:00.000000 UTC,123.75.0.198,São Paulo,São Paulo,02675-031,Chrome,Organic,/cancel,cancel
2091846,,3,ed4f53ad-a177-40f2-8dca-a824bc22a030,2021-01-19 11:17:00.000000 UTC,214.121.212.33,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
1463342,,3,72a72cec-e3c5-4bf0-8d91-3bd9b96e9cba,2021-05-06 17:20:00.000000 UTC,116.206.189.94,São Paulo,São Paulo,02675-031,Chrome,Organic,/cancel,cancel
1802883,,3,62ab9558-5675-4560-91a2-88fb29b09525,2020-03-21 10:56:00.000000 UTC,191.111.199.16,São Paulo,São Paulo,02675-031,Chrome,Facebook,/cancel,cancel
1298737,,3,bea2a7d9-4648-4418-b0a4-b488ddad62d3,2021-03-29 16:28:00.000000 UTC,173.93.220.129,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
2321233,,3,001bf4ac-7ce0-47eb-93ce-3ad823ef75f1,2020-07-11 12:50:00.000000 UTC,143.133.88.81,São Paulo,São Paulo,02675-031,Firefox,YouTube,/cancel,cancel
2121691,,3,3a5c5b28-2872-4ba2-997e-c8ca5d1f90d7,2023-06-20 15:21:00.000000 UTC,96.99.162.36,São Paulo,São Paulo,02675-031,Firefox,Organic,/cancel,cancel
1438250,,3,2d54f424-0231-430d-8147-09314be38335,2022-07-07 15:05:00.000000 UTC,75.230.168.49,São Paulo,São Paulo,02675-031,Firefox,Adwords,/cancel,cancel
1507288,,3,f542c10c-8c4f-4125-85a5-423bc95a9f23,2022-05-28 01:44:00.000000 UTC,205.72.46.54,São Paulo,São Paulo,02675-031,Firefox,Adwords,/cancel,cancel
2192414,,3,4b0973f5-1a58-433d-8c6a-70a1ff537edf,2023-10-10 08:48:00.000000 UTC,87.100.184.214,São Paulo,São Paulo,02675-031,Firefox,Email,/cancel,cancel
2144331,,3,49f10419-da07-4b34-b100-994e756378d2,2021-07-12 09:44:00.000000 UTC,134.19.13.9,Aomori City,Aomori,038-0042,Chrome,Email,/cancel,cancel
1819470,,3,b80ea266-a037-4778-8ed5-1b36a148f083,2024-10-21 14:43:00.000000 UTC,171.28.173.208,São Paulo,São Paulo,04941-175,Chrome,Facebook,/cancel,cancel
