id,product_id,created_at,sold_at,cost,product_category,product_name,product_brand,product_retail_price,product_department,product_sku,product_distribution_center_id
10616,13844,2024-09-28 22:12:54.000000 UTC,2024-11-25 07:47:54.000000 UTC,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
10617,13844,2020-05-10 12:22:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
41105,13844,2024-09-08 13:40:24.000000 UTC,2024-10-07 23:53:24.000000 UTC,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
41106,13844,2022-04-09 17:17:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
41107,13844,2021-01-05 10:43:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
47043,13844,2025-04-01 05:45:31.000000 UTC,2025-05-09 10:28:31.000000 UTC,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
47044,13844,2020-07-25 09:05:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
84304,13844,2024-03-09 06:52:28.000000 UTC,2024-04-15 13:51:28.000000 UTC,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
84305,13844,2020-10-28 04:48:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
84306,13844,2024-03-20 04:59:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
84307,13844,2023-05-06 08:18:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
95306,13844,2021-03-23 18:56:51.000000 UTC,2021-05-12 15:16:51.000000 UTC,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
95307,13844,2021-06-08 17:31:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
170050,13844,2024-02-27 20:38:35.000000 UTC,2024-04-14 10:23:35.000000 UTC,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
170051,13844,2020-02-14 16:47:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
170052,13844,2020-06-21 04:36:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
399533,13844,2024-08-10 07:26:53.000000 UTC,2024-10-03 12:29:53.000000 UTC,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
399534,13844,2023-01-27 10:52:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
399535,13844,2021-06-07 06:32:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
399536,13844,2021-01-13 12:53:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
473541,13844,2024-12-23 13:31:12.000000 UTC,2024-12-31 15:25:12.000000 UTC,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
473542,13844,2020-01-13 01:07:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
473543,13844,2024-09-13 16:49:00.000000 UTC,,2.7680398976188529,Accessories,(ONE) 1 Satin Headband,Funny Girl Designs,6.9899997711181641,Women,2A3E953A5E3D81E67945BCE5519F84C8,7
176510,14086,2021-04-17 00:30:26.000000 UTC,2021-05-23 10:57:26.000000 UTC,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
176511,14086,2021-04-18 00:23:00.000000 UTC,,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
176512,14086,2021-01-05 16:00:00.000000 UTC,,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
202760,14086,2022-06-04 03:19:31.000000 UTC,2022-06-08 06:53:31.000000 UTC,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
202761,14086,2023-11-23 14:18:00.000000 UTC,,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
202762,14086,2024-08-01 02:33:00.000000 UTC,,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
224235,14086,2021-09-04 18:57:43.000000 UTC,2021-09-06 09:17:43.000000 UTC,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
224236,14086,2022-10-15 15:28:00.000000 UTC,,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
237716,14086,2024-03-12 17:29:53.000000 UTC,2024-04-17 22:02:53.000000 UTC,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
237717,14086,2020-02-09 18:58:00.000000 UTC,,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
356918,14086,2025-06-14 23:52:16.000000 UTC,2025-06-18 03:12:16.000000 UTC,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
356919,14086,2023-08-03 03:30:00.000000 UTC,,2.2462499030120675,Accessories,(One) CHEER Rhinestone Studded Stretch Headband,Funny Girl Designs,5.9899997711181641,Women,8EFA9015A4EF4632A954E820ECA834AD,7
22817,13726,2022-05-07 09:44:42.000000 UTC,2022-06-24 15:43:42.000000 UTC,3.5819999857340008,Accessories,(Set of 3) Leopard Animal Print Stretch Headband,Funny Girl Designs,9.0,Women,82D1C46A6014199790E16EAD8A170B98,7
22818,13726,2020-08-21 17:29:00.000000 UTC,,3.5819999857340008,Accessories,(Set of 3) Leopard Animal Print Stretch Headband,Funny Girl Designs,9.0,Women,82D1C46A6014199790E16EAD8A170B98,7
22819,13726,2021-01-28 10:46:00.000000 UTC,,3.5819999857340008,Accessories,(Set of 3) Leopard Animal Print Stretch Headband,Funny Girl Designs,9.0,Women,82D1C46A6014199790E16EAD8A170B98,7
