id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
13842,2.5187499908497561,Accessories,Low Profile Dyed Cotton Twill Cap - Navy W39S55D,MG,6.25,Women,EBD58B8A3F1D72F4206201DA62FB1204,1
13928,2.3383499148894105,Accessories,Low Profile Dyed Cotton Twill Cap - Putty W39S55D,MG,5.9499998092651367,Women,2EAC42424D12436BDD6A5B8A88480CC3,1
14115,4.8795598793798689,Accessories,Enzyme Regular Solid Army Caps-Black W35S45D,MG,10.989999771118164,Women,EE364229B2791D1EF9355708EFF0BA34,1
14157,4.648769887297898,Accessories,Enzyme Regular Solid Army Caps-Olive W35S45D (One Size),MG,10.989999771118164,Women,00BD13095D06C20B11A2993CA419D16B,1
14273,6.507929886473045,Accessories,Washed Canvas Ivy Cap - Black W11S64C,MG,15.989999771118164,Women,F531DC20FDE20B7ADF3A73F52B71D0AF,1
15674,3.1062499998370185,Plus,Low Profile Dyed Cotton Twill Cap - Navy W39S55D,MG,6.25,Women,63894CE404B8C652915C41EF8B879D20,1
15816,3.1772999091416594,Plus,Low Profile Dyed Cotton Twill Cap - Putty W39S55D,MG,5.9499998092651367,Women,151EA8C2D98CE89C2336324C11B1E107,1
28646,8.73562987972319,Accessories,4 Panel Large Bill Flap Hat W15S48B (One Size Fits Most/Khaki),MG,19.989999771118164,Men,789334DE6DAA80D83AB4ACB6A4BF5AC7,1
28670,2.6759399153566363,Accessories,Low Profile Dyed Cotton Twill Cap - Black W39S55D,MG,6.179999828338623,Men,E74843B99DA8B29775C6AA9080436844,1
28714,2.275000000372529,Accessories,Low Profile Dyed Cotton Twill Cap - Khaki W39S55D,MG,6.25,Men,8CA33D44648CC9FEECEF21E5A7123291,1
28779,7.36748991528362,Accessories,Fishing Hat (01)-Khaki W10S32F,MG,20.989999771118164,Men,167D739013D283895E59F360A8EF992C,1
28904,6.7957498848550015,Accessories,Fashion Plaid Ivy Cap - Blue W10S69F,MG,15.989999771118164,Men,0EBD0B8B51EB0D0062065A7657486C8E,1
29007,10.795999868229032,Accessories,Washed Hunting Fishing Outdoor Hat-Camo W11S41D,MG,26.989999771118164,Men,11172787BDF65BA27B6349969D340AF4,1
12777,16.691290760814255,Swim,Womens MW Tankini Boyshorts Swimsuit Swimwear Crisscross Back Multiple Prints S-xxl,MW,44.9900016784668,Women,553C3741E8D893FE9789A3EB8A162821,1
12810,21.055320884742144,Swim,Mw Long Ruffle Tankini Bikini Swimsuit Bra Straps Multiple Prints,MW,44.9900016784668,Women,5A1106FCB6C23317695F2F619988EF41,1
12812,21.14530090284795,Swim,Womens long tankini bikini swimsuit Marina West 2 piece multiple prints bra straps,MW,44.9900016784668,Women,179DB74797BDE5F379B623AB73EE7C64,1
12853,18.71584077014294,Swim,Womens MW Tankini Boyshorts Swimsuit Swimwear Fashion prints S-XXL,MW,44.9900016784668,Women,5EF893A3104AB0CC85519A2AD3FEC050,1
12900,17.395650788233059,Swim,Womens One Piece/bikini Monokini Swimsuit w/ Fringe MW Multiple Prints and Solids,MW,39.9900016784668,Women,09EA221D3DB11DF1F369094FFB4BDA7C,1
13247,20.650410887066428,Swim,Womens swimsuit MW Swimwear Set Halter w/ Boyshorts 2 piece bikini multiple prints,MW,44.9900016784668,Women,EB61C2B1B1BF5D25C86DA9FCEEF54538,1
